Sample_1	Site_1	Mass_1	C1	H1	O1	N1	S1	P1	MolForm_1	El_comp_1	Class_1
NOM_after	NOM	301.038748	12	13	7	0	1	0	C12H13O7S	CHOS	Lignins
NOM_after	NOM	301.04661	14	9	6	2	0	0	C14H9N2O6	CHON	Lignins
NOM_after	NOM	301.050632	19	9	4	0	0	0	C19H9O4	CHO	Condensed Aromatics
NOM_after	NOM	301.059877	9	17	9	0	1	0	C9H17O9S	CHOS	Carbohydrates
NOM_after	NOM	301.071762	16	13	6	0	0	0	C16H13O6	CHO	Lignins
NOM_after	NOM	301.075133	13	17	6	0	1	0	C13H17O6S	CHOS	Lignins
NOM_after	NOM	301.082995	15	13	5	2	0	0	C15H13N2O5	CHON	Lignins
NOM_after	NOM	301.087018	20	13	3	0	0	0	C20H13O3	CHO	Lignins
NOM_after	NOM	301.092891	13	17	8	0	0	0	C13H17O8	CHO	Lignins
NOM_after	NOM	301.096262	10	21	8	0	1	0	C10H21O8S	CHOS	Carbohydrates
NOM_after	NOM	301.108147	17	17	5	0	0	0	C17H17O5	CHO	Lignins
NOM_after	NOM	301.111519	14	21	5	0	1	0	C14H21O5S	CHOS	Proteins
NOM_after	NOM	301.129277	14	21	7	0	0	0	C14H21O7	CHO	Proteins
NOM_after	NOM	301.144533	18	21	4	0	0	0	C18H21O4	CHO	Lignins
NOM_after	NOM	301.165662	15	25	6	0	0	0	C15H25O6	CHO	Proteins
NOM_after	NOM	301.180918	19	25	3	0	0	0	C19H25O3	CHO	Lignins
NOM_after	NOM	302.012867	14	8	5	1	1	0	C14H8NO5S	CHONS	Condensed Aromatics
NOM_after	NOM	302.030625	14	8	7	1	0	0	C14H8NO7	CHON	Condensed Aromatics
NOM_after	NOM	302.067011	15	12	6	1	0	0	C15H12NO6	CHON	Lignins
NOM_after	NOM	302.082267	19	12	3	1	0	0	C19H12NO3	CHON	Condensed Aromatics
NOM_after	NOM	302.103396	16	16	5	1	0	0	C16H16NO5	CHON	Lignins
NOM_after	NOM	302.124526	13	20	7	1	0	0	C13H20NO7	CHON	Proteins
NOM_after	NOM	302.996883	14	7	6	0	1	0	C14H7O6S	CHOS	Condensed Aromatics
NOM_after	NOM	303.014641	14	7	8	0	0	0	C14H7O8	CHO	Condensed Aromatics
NOM_after	NOM	303.025874	13	7	7	2	0	0	C13H7N2O7	CHON	Condensed Aromatics
NOM_after	NOM	303.051026	15	11	7	0	0	0	C15H11O7	CHO	Lignins
NOM_after	NOM	303.06226	14	11	6	2	0	0	C14H11N2O6	CHON	Lignins
NOM_after	NOM	303.066282	19	11	4	0	0	0	C19H11O4	CHO	Condensed Aromatics
NOM_after	NOM	303.087412	16	15	6	0	0	0	C16H15O6	CHO	Lignins
NOM_after	NOM	303.098645	15	15	5	2	0	0	C15H15N2O5	CHON	Lignins
NOM_after	NOM	303.102668	20	15	3	0	0	0	C20H15O3	CHO	Lignins
NOM_after	NOM	303.108541	13	19	8	0	0	0	C13H19O8	CHO	Proteins
NOM_after	NOM	303.123797	17	19	5	0	0	0	C17H19O5	CHO	Lignins
NOM_after	NOM	303.144927	14	23	7	0	0	0	C14H23O7	CHO	Proteins
NOM_after	NOM	303.160183	18	23	4	0	0	0	C18H23O4	CHO	Lignins
NOM_after	NOM	303.171416	17	23	3	2	0	0	C17H23N2O3	CHON	Lignins
NOM_after	NOM	303.19994	16	31	3	0	1	0	C16H31O3S	CHOS	Lipids
NOM_after	NOM	304.00989	13	6	8	1	0	0	C13H6NO8	CHON	Condensed Aromatics
NOM_after	NOM	304.046275	14	10	7	1	0	0	C14H10NO7	CHON	Lignins
NOM_after	NOM	304.061531	18	10	4	1	0	0	C18H10NO4	CHON	Condensed Aromatics
NOM_after	NOM	304.082661	15	14	6	1	0	0	C15H14NO6	CHON	Lignins
